name,floor,shop_number,category,raw_floor,source_url,source_section,extraction_method
Catalog,L5,513,Shopping,"Catalog一期, L5, 513舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Cath Kidston,L3,A356,Shopping,"Cath Kidston三期, L3, A356舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CAUDALIE,L3,A301,Shopping,"CAUDALIE三期, L3, A301舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CHANEL BEAUTÉ,L3,376,Shopping,"CHANEL BEAUTÉ一期, L3, 376舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CHANTECAILLE,L4,473,Shopping,"CHANTECAILLE一期, L4, 473舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CHARLES & KEITH,L4,411A,Shopping,"CHARLES & KEITH一期, L4, 411A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Charlotte Tilbury,L2,243,Shopping,"Charlotte Tilbury一期, L2, 243舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CHEVIGNON,L5,528,Shopping,"CHEVIGNON一期, L5, 528舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
chicco,L2,A201,Shopping,"chicco三期, L2 , A201舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Chrissie Studio,L3,A377,Shopping,"Chrissie Studio三期, L3, A377舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
City Chain Glam TimePieces & Solvil et Titus,L3,A370,Shopping,"City Chain Glam TimePieces & Solvil et Titus三期, L3, A357 & A370舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
City'super,L2,204-214,Shopping,"City'super一期, L2, 204-214舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CLARINS,L2,219,Shopping,"CLARINS一期, L2, 219舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CLINIQUE,L2,203,Shopping,"CLINIQUE一期, L2, 203舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Club Monaco,L3,395,Shopping,"Club Monaco一期, L3, 395舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Clé de Peau BEAUTÉ,L4,468,Shopping,"Clé de Peau BEAUTÉ一期, L4, 468舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Clémence by Rue Madame,L4,482A,Shopping,"Clémence by Rue Madame一期, L4, 482A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Coach,L3,398A,Shopping,"Coach一期, L3, 398 & 398A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Cole Haan GrandShøp,L5,533,Shopping,"Cole Haan GrandShøp一期, L5, 533舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Columbia Sportswear Company,L5,514,Shopping,"Columbia Sportswear Company一期, L5, 514舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
COS,L3,390-391,Shopping,"COS一期, L3, 390-391舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Covermark,L3,A346,Shopping,"Covermark三期, L3, A346舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
CROCS,L3,A323,Shopping,"CROCS三期, L3, A323舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Daisy & Dion,L2,A208,Shopping,"Daisy & Dion三期, L2 , A208舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
DECATHLON,L3,A315,Shopping,"DECATHLON三期, L3, A315舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
DELSEY PARIS,L5,537,Shopping,"DELSEY PARIS一期, L5, 537舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
DETERMINANT,L4,413A,Shopping,"DETERMINANT一期, L4, 413A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Dior Beauty,L3,332,Shopping,"Dior Beauty一期, L3,332舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
DMA,L6,622,Shopping,"DMA一期, L6, 622舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Double Step,L3,A322,Shopping,"Double Step三期, L3, A322舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Dr. Kong Footcare,L2,A210,Shopping,"Dr. Kong Footcare三期, L2 , A210舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Dr. Martens,L3,A320,Shopping,"Dr. Martens三期, L3, A320舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
DV Meteor,L3,A339A,Shopping,"DV Meteor三期, L3 A339A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
dyson,L3,369E,Shopping,"dyson一期, L3, 369E舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ECCO,L5,536,Shopping,"ECCO一期, L5, 536舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Eczewear,L1,A126,Shopping,"Eczewear三期, L1 , A126舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
edition,L3,303,Shopping,"edition一期, L3, 303舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
EFX24,LB,LB07,Shopping,"EFX24一期,PLAY PARK, LB07舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
eGG Optical Boutique,L3,A306,Shopping,"eGG Optical Boutique三期, L3, A306舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ELBA,L3,A321,Shopping,"ELBA三期, L3, A321舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Erica Store,L3,A336,Shopping,"Erica Store三期, L3, A336舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ESTÉE LAUDER,L3,330,Shopping,"ESTÉE LAUDER一期, L3,330舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
EVISU,L4,409,Shopping,"EVISU一期, L4, 409舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
FILA,L5,501-502,Shopping,"FILA一期, L5, 501-502舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
FILA KIDS,L2,A231,Shopping,"FILA KIDS三期, L2, A231舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
FLOROMA,L3,A342,Shopping,"FLOROMA三期, L3, A342舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
fresh,L4,418,Shopping,"fresh一期, L4, 418舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
FURLA,L3,388,Shopping,"FURLA一期, L3, 388舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
G2000,L4,479,Shopping,"G2000一期, L4, 479舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ghd,L2,220,Shopping,"ghd一期, L2, 220舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
GINZA DIAMOND SHIRAISHI,L4,472,Shopping,"GINZA DIAMOND SHIRAISHI一期, L4, 472舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Giordano ladies,L4,483,Shopping,"Giordano ladies一期, L4, 483铺",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
GLYCEL,L3,A374,Shopping,"GLYCEL三期, L3, A374舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
GRAND SEIKO,L3,A358,Shopping,"GRAND SEIKO三期, L3, A358舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
GreenPrice,L2,A235A,Shopping,"GreenPrice三期, L2, A235A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
GU,L3,A307,Shopping,"GU三期, L3, A307舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Guerlain,L2,215B,Shopping,"Guerlain一期, L2, 215B舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Helena Rubinstein,L4,405,Shopping,"Helena Rubinstein一期, L4, 405舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
hellolulu,L1,A131,Shopping,"hellolulu三期, L1, A131舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Her Own Words,L3,A317,Shopping,"Her Own Words三期, L3, A317舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Hisso,L3,A328,Shopping,"Hisso三期, L3, A328舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
HOLLISTER,L4,457,Shopping,"HOLLISTER一期, L4, 457舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
HONOR,L6,603,Shopping,"HONOR一期, L6, 603舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
HP,L6,601A,Shopping,"HP一期, L6, 601A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
i.t,L4,412,Shopping,"i.t一期, L4, 412舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
IDEAS,L4,414,Shopping,"IDEAS一期, L4, 414舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
INDIGO PLUS,UB,07-08,Shopping,"INDIGO PLUS一期, UB, 07-08舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
INITIAL,L3,358,Shopping,"INITIAL一期, L3, 358舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
innisfree,L3,A373,Shopping,"innisfree三期, L3, A373舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Intique,L3,A359-360,Shopping,"Intique三期, L3, A359-360舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
IPSA,L2,217,Shopping,"IPSA一期, L2, 217舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ITSU,L6,621A,Shopping,"ITSU一期, L6, 621A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
JINS,L4,413,Shopping,"JINS一期, L4, 413舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Jo Malone London,L2,202,Shopping,"Jo Malone London一期, L2, 202舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Joy & Peace,L4,476,Shopping,"Joy & Peace一期, L4, 476舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
JP Living Style,L2,A233,Shopping,"JP Living Style三期, L2, A233舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
June,L3,A338,Shopping,"June三期, L3, A338舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Jurlique,L3,A352,Shopping,"Jurlique三期, L3, A352舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
kate spade New York,L3,325,Shopping,"kate spade New York一期, L3, 325舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Keen,L5,531,Shopping,"Keen一期, L5, 531舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Kipling,L3,A361,Shopping,"Kipling三期, L3, A361舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Kiztopia,LB,LB08-LB09,Shopping,"Kiztopia一期,PLAY PARK, LB08-LB09舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Kérastase,L3,A340,Shopping,"Kérastase三期, L3, A340舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
K… Culture,L3,A366A,Shopping,"K… Culture三期, L3, A366A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
L'Occitane,L3,A302,Shopping,"L'Occitane三期, L3, A302舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
La Mer,L4,422,Shopping,"La Mer一期, L4, 422舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LA PRAIRIE,L4,425,Shopping,"LA PRAIRIE一期, L4, 425舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Lacoste,L5,503,Shopping,"Lacoste一期, L5, 503舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Lancôme,L3,378,Shopping,"Lancôme一期, L3, 378舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LANEIGE,L3,A376,Shopping,"LANEIGE三期, L3, A376舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Laura Mercier,L2,215A,Shopping,"Laura Mercier一期, L2, 215A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LE CREUSET,L6,640,Shopping,"LE CREUSET一期, L6, 640舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Le Labo,L4,421A,Shopping,"Le Labo一期, L4, 421A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LEGiT,L3,A336A,Shopping,"LEGiT三期, L3, A336A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LensCrafters,L3,A323A,Shopping,"LensCrafters三期, L3, A323A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
